id,value
people,10
phrase,8
five-pillars,10
sunni,342
ahlul-kitab,48
hadith,1378
arabic,241
mumin,4
authenticity,284
riba,157
quran,1436
english,18
terminology,116
ritual,8
creation,85
evolution,9
jihad,63
oaths,71
adam-and-eve,27
non-muslim,246
clothing,98
women,385
shia-sunni,85
sects,44
witness,17
investment,42
talaq,184
pork,32
food,212
relationships,105
allah,536
asma-ul-husna,45
sports,16
other-religions,44
ijma,9
fiqh,861
sin,387
punishment,177
homosexuality,95
culture,19
conversion,113
music,65
science,85
sunnah,360
belief,69
evil-eye,10
surah,41
messengers,13
prayer-timings,86
history,393
sex,283
zakat,163
nisab,6
mortgage,8
suicide,30
language,35
shiism,233
husband,29
wife,46
prophet-isa,115
christianity,115
translation,23
reciting,10
usool-ul-fiqh,39
sharia,634
tajweed,28
halal-haram,2033
time,34
adab,41
secular,6
shirk,236
war,45
politics,30
dua,293
nikah-al-mutah,27
qiblah,34
source-identification,386
salat,1260
shia-imam,17
kaabah,36
wedding,11
pets,19
caliph,28
atheists,17
scientific-proof,18
madhhab,53
sadaqah,62
sufism,48
prophet-muhammad,456
miracles,40
shaitan,113
mythology,6
violence,21
jinn,93
business,91
revelation,39
fard,33
health,24
art,22
hudud,42
sahaba,83
men,75
prophet-ibrahim,31
technology,26
mistake,32
fatwa,84
ahl-ul-bayt,24
ramadan,276
kuffar,27
tafseer,563
dream,55
banking,41
jumuah,79
movies,12
bidah,72
gambling,48
ibadah,50
wudu,216
reading-quran,58
symbolism,8
shafii,22
tawba,152
finance,57
loan,20
education,32
universe,21
scripture,17
zina,124
medical,62
miraj,9
islamic-events,26
adultery,24
sawm,314
taraweeh,40
taharah,184
eid,46
money,144
theology,39
sayyid,6
travelling,44
mushaf,17
jamaat,52
iftar,8
quran-recitation,121
life,39
greetings,39
family,93
animals,72
practical-islam,834
tawheed,21
jannah,250
islamic-philosophy,330
judaism,41
ayah,18
prophets,178
salawat,33
quran-translation,97
laylat-al-qadr,21
muftirat,2
qiraat,36
property,12
hajj,65
future,7
sajda,23
menses,50
battle-of-jamal,4
adhan,51
holidays,7
sahih-bukhari,50
ali,37
disasters,6
rashidi-caliphs,9
grave,35
shia-ismaili,2
islamic-government,30
hijab,143
maliki,15
hanafi,95
books,67
muslim-practices,122
soul,53
uloom-al-hadith,168
verses,30
hadith-interpretation,488
udhiyyah,12
barzakh,7
respect,24
khutbah,24
death,138
aisha,18
non-muslim-countries,56
islamic-countries,9
azadari,3
trading,29
judgements,18
mahram,40
iddah,27
eschatology,17
salat-qada,53
shafaah,5
imamah,13
umrah,32
islamic-basis,233
taqlid,10
malaikah,76
reference-request,187
infallability,14
dawah,40
modesty,32
covenant,3
khitan,3
ilm-mustalah-al-hadith,25
definitions,49
naming,68
rent,6
apostasy,49
bay-al-dayn,2
sick,21
bohra,4
ahlul-rai,1
ahlul-hadeeth,2
honorifics,5
salat-al-qasr,18
bani-israel,14
democracy,8
seerah,44
nafl,24
drawing,54
image,72
imaan,47
islamic-scholar,116
sacrifice,31
child-adoption,6
hell,12
human-rights,18
profession,20
bible,49
darood,5
polygamy,32
atheism,11
istikharah,28
day-of-judgement,84
aqeeqah,10
reward,35
ethics,9
self-purification,29
religion,18
circumcision,10
shaving,8
fitrah,12
dogs,35
morality,12
yajooj-and-majooj,5
dajjal,23
inheritance,33
photos,22
children,97
hojjat,4
nikah,759
masjid-al-haram,12
insurance,11
dhikr,51
freedom-of-belief,13
slavery,75
hussain,12
khilafah,27
quranic-events,29
beard,22
ilm-al-ghaib,12
prophet-dawud,2
lanat,3
worship,10
alcohol,84
tawiz,10
masjid,97
piracy,33
prostration,10
akhirah,44
assets,2
forgiveness,164
names,39
aqidah,44
singing,11
jizya,6
fatima-zahra,14
mourning,5
wives-of-the-prophet,23
munafiq,4
government,13
dhabihah,29
love,52
hair,55
order-of-revelation,5
shrine,4
tawassul,6
meat,50
sahih-muslim,24
destiny,18
makruh,26
naskh,13
tradition,10
cheating,14
houri,6
surat-yasin,5
tv,12
men-women,66
imam-al-jamaah,25
wajib,11
debt,21
obligation,30
mehr,14
husband-wife,181
prophet-sulayman,7
tahajjud,29
surat-al-kawthar,1
free-will,28
surat-an-naml,1
surat-al-fath,1
surat-saad,1
surat-at-tawbah,7
surat-al-mujadilah,1
surat-al-baqarah,42
surat-an-nisa,26
surat-al-fatihah,15
surat-nuh,2
surat-at-tahreem,2
surat-al-kahf,12
surat-fussilat,2
surat-maryam,5
surat-an-noor,4
surat-al-anbiya,1
surat-al-hajj,3
surat-al-ahzab,5
surat-al-maarij,1
sihr,36
surat-qaf,1
surat-ta-ha,2
surat-al-anam,6
surat-al-hadid,2
surat-al-kafirun,4
surat-al-asr,1
surat-al-alaq,1
surat-yusuf,8
surat-al-maidah,20
surat-al-qamar,3
surat-at-tin,2
surat-al-isra,5
quran-memorization,11
surat-al-qiyamah,2
surat-an-nas,1
prophet-yusuf,7
prophet-yaqub,2
surat-al-waqiah,1
surat-al-araf,9
surat-al-qasas,1
imam-mahdi,19
imam-khatib,3
non-mahram,52
game,74
digital-files,5
mankind,7
theft,36
ghusl,156
prophet-adam,29
soldier,2
creatures,5
torah,25
fajr,23
eid-ul-adha,26
surat-al-hashr,3
surat-al-ghafir,1
surat-ar-rahman,5
battles,20
salafi,22
arabic-translation,68
depiction,6
khums,2
lunar-calendar,19
school,27
daesh,2
rada,17
diyya,6
baby,33
end-times,13
surat-al-hujurat,1
world,7
surat-at-talaq,1
work,133
khatam-an-nabiyyin,2
ahmadiyyah,6
jews,42
isnad,13
fatwa-explanation,31
zoroastrianism,5
tayammum,15
physical-contact,9
helping,24
surat-az-zukhruf,1
internet,53
title,4
taqiya,5
kissing,9
consent,5
freedom,10
imam-sadiq,2
calculate,3
disability,8
legal,9
touching,4
martyr,18
kufr,128
monotheism,5
pregnancy,22
limitation,3
age,15
kaffarah,25
shahada,51
islamqa,10
sujud,19
quran-only,12
surat-al-ankabut,1
surat-an-najm,1
prophet-lut,8
jahiliyya,5
mustahab,4
laughter,3
cartoon,19
pronunciation,8
gold,11
uloom-al-quran,61
comparative-religions,13
karbala,4
muharram,4
celebration,26
awrah,55
najis,62
deeds,53
parents,123
social-media,8
ummah,9
sexuality,30
battle-of-karbala,3
divine-attributes,11
alien,6
pain,5
rape,15
evil-thoughts,24
equality,12
masturbation,113
jahannam,98
protection,8
funeral,22
witr,12
baptism,3
metaphysical,4
transgender,17
divine-justice,7
maryam,11
prophet-musa,26
omnipresence,4
contradiction,27
hindu,10
backbiting,29
preservation,4
interfaith,14
hijra,5
depression,11
doubts,60
challenge-of-the-quran,6
last-day,5
curse,11
fear,6
birth-control,6
family-planning,3
smoking,15
spirituality,11
human-body,48
hanbali,5
adornments,4
al-walaa-wal-baraa,1
anger,20
self-defense,9
justice,11
software,59
wali,36
prophet-nuh,7
fashion-design,5
contract,4
qiyas,6
rajm,9
blasphemy,15
cosmetics,8
criminal,4
lying,38
behavior,67
blessings-of-allah,21
jealousy,5
blood,9
ashura,4
fidyah,2
hunting,8
halal-certification,19
moon,7
pornography,20
qadar,35
surat-al-imran,14
surat-adh-dhariyat,2
surat-ash-shura,2
ruku,7
takbir,8
tashahhud,21
perfume,8
hirabah,2
torture,5
qisas,4
poetry,3
tribalism,2
friendship,35
caste,7
studying,5
surat-an-nahl,2
zakat-al-fitr,2
sadaqah-al-fitr,9
takfir,4
surat-hud,5
mecca,4
intercourse,16
tawakkul,4
knowing-islam,13
ilm-ar-rijal,47
ruqya,6
waswasa,59
nocturnal-emission,15
hereafter,12
islamic-notability,1
abu-bakr,2
ibn-arabi,2
modernity,2
mutazilites,3
surat-al-ala,1
ghayb,1
nifaas,1
yunus,1
orphans,4
thinking,5
sahifa,1
darul-islam,1
extremism,2
ibn-taymiyyah,3
law,1
slaves,4
source,1
walad-al-zina,4
previous-scriptures,3
diabetis,1
